"location_string","latitude","longitude"
"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"Oxford, Oxfordshire, England",51.7520131,-1.2578499
"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147
"Bernwood Forest, Oxfordshire, England",NA,NA
"Box Hill, Tadworth, Surrey, England",51.2543699,-0.2776725
"Tooting Commons, London, Greater London, England",NA,NA
"Newton Abbot, Devon, England",50.5296441,-3.6112097
"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"Roundhay Park, Leeds, West Yorkshire, England",53.8393511,-1.4978422
"Brixham, Devon, England",50.3952404,-3.514544
"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",NA,NA
"Bradley Woods, Newton Abbot, Devon, England",NA,NA
"Tubney, Oxfordshire, England",51.6852443,-1.3699399
"Chudleigh, Devon, England",50.6156543,-3.5869448
"Porthcawl, Bridgend, Wales",51.4795563,-3.7040704
"Doddington, Gloucestershire, England",NA,NA
"Bovey Heathfield, Bovey Tracey, Devon, England",50.5778633,-3.6644648
"Hatton, Warwickshie, England",NA,NA
"Woking, Surrey, England",51.3201891,-0.5564726
"Huntingfield, Faversham, Kent, England",NA,NA
"Sydlings Copse, Oxford, Oxfordshire, England",NA,NA
"Clouts Wood, Wroughton, Wiltshire, England",NA,NA
"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"Wimbledon, Greater London, England",51.4214787,-0.2064027
"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644
"Wotton-under-Edge, Gloucestershire, England",51.6378241,-2.3547251
"Chobham, Surrey, England",51.3477705,-0.6010128
"Lyme Regis, Dorset, England",50.7252897,-2.934559
"Teign Valley, Newton Abbot, Devon, England",NA,NA
"Coleshill, Oxfordshire, England",51.6427615,-1.659708
"Diptford, Devon, England",50.3840452,-3.7629722
"Milton Combe, Devon, England",50.4745875,-4.131055
"Hatching Green, Harpenden, Hertfordshire, England",51.8034314,-0.3580286
"Ham House, Richmond, Surrey, England",NA,NA
"Axminster, Devon, England",50.7820966,-2.9979915
"Sulhamstead Park, Reading, Berkshire, England",NA,NA
"Salcombe Regis, Devon, England",50.6935703,-3.2066743
"Littleham, Devon, England",50.9930461,-4.2236852
"Croyde, Devon, England",51.1303398,-4.2215393
"Chastleton, Oxfordshire, England",51.9599665,-1.6409204
"Torquay, Devon, England",50.4652392,-3.5211361
"Lustleigh, Devon, England",50.6228301,-3.7304463
"Exeter, Devon, England",50.7256138,-3.5269209
"Slough, Berkshire, England",51.512103,-0.591276
"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"Dawlish, Devon, England",50.5797391,-3.468931
"Burley, Hampshire, England",50.8266,-1.70164
"Langley, Slough, Berkshire, England",51.507818,-0.5409049
"Bramshaw, Hampshire, England",50.9407584,-1.617454
"Coast Path, Salcombe, Devon, England",NA,NA
"Barnack Hills and Holes, Barnack, Cambridgeshire, England",NA,NA
"Newark Park, Wotton-under-Edge, Gloucestershire, England",51.6363693,-2.3176907
"Wimborne, Dorset, England",50.7995189,-1.987339
"Hitchin, Bedfordshire, England",52.0085422,-0.3034
"Malvern, Worcestershire, England",52.1159559,-2.3258985
"Bison Hill, Whipsnade, Bedfordshire, England",51.854781,-0.5482012
"Seale, Surrey, England",51.2223512,-0.7187413
"Wytham, Oxford, Oxfordshire, England",51.7535169,-1.2131856
"Cumnor, Oxfordshire, England",51.7349255,-1.3331621
"Devil's Dyke, Brighton, Sussex, England",50.8849935,-0.2123306
"Faversham, Kent, England",51.3158434,0.8911283
"Pegsdon, Hitchin, Bedfordshire, England",NA,NA
"Charing, Kent, England",51.2142039,0.7886033
"Gomshall, Surrey, England",51.2192418,-0.4422487
"Hinksey, Oxford, Oxfordshire, England",51.7363525,-1.2575581
"Hampstead, London, Greater London, England",51.55653,-0.1783011
"Cobham, Surrey, England",51.3300079,-0.4120821
"East Dartmoor, Dartmoor, Devon, England",50.486085,-3.9856305
"Devon, England",50.7241405,-3.6607788
"Bollin Valley, Wilmslow, Cheshire, England",53.3299342,-2.2281098
"Teigngrace, Newton Abbot, Devon, England",NA,NA
"Horsley, Gloucestershire, England",51.6780946,-2.2329134
"New Forest, Hampshire, England",50.8557268,-1.5956844
"Badbury Rings, Wimborne, Dorset, England",NA,NA
"Windsor, Berkshire, England",51.4837886,-0.6040419
"Northwood, Greater London, England",51.6051713,-0.4205812
"Swanage, Dorset, England",50.6086976,-1.9571971
"Ashton Pond, Oundle, Northamptonshire, England",NA,NA
"Stratton Audley, Oxfordshire, England",51.9336182,-1.109515
"Camborne, Cornwall, England",50.2138828,-5.2990347
"Tavistock, Devon, England",50.5496154,-4.1446358
"Lifton, Devon, England",50.6429503,-4.2988119
"Coate Water Country Park, Swindon, Wiltshire, England",NA,NA
"Padworth, Berkshire, England",51.3916205,-1.1187515
"Keighley, West Yorkshire, England",53.8684021,-1.9020456
"East Cornwall, Cornwall, England",50.5041841,-4.2790642
"Plymouth Hoe, Plymouth, Devon, England",NA,NA
"South Haven Point, Swanage, Dorset, England",NA,NA
"Saunton, Devon, England",51.1167185,-4.2093963
"Portland, Dorset, England",50.5672516,-2.4472529
"Hellingly, East Sussex, England",50.895456,0.2499944
"Hitchcopse Pit, Oxfordshire, England",NA,NA
"Walmer, Kent, England",51.2068884,1.3999154
"Lydd Ranges, Kent, England",50.9298725,0.8684773
"Newquay, Cornwall, England",50.4134414,-5.0848836
"Farmoor, Oxfordshire, England",51.7600964,-1.3487839
"Wallasey, Merseyside, England",NA,NA
"Hoylake, Cheshire, England",NA,NA
"Market Bosworth, Leicestershire, England",52.6217051,-1.4149268
"Old Inn Cottage, Saint Austell, Cornwall, England",NA,NA
"Manor Garden, Torquay, Devon, England",50.4611174,-3.507932
"74 Islip Road, Sunnymead, Oxford, Oxfordshire, England",51.7844434,-1.2616549
"Lye Valley, Oxford, Oxfordshire, England",51.7455776,-1.2056501
"Sunnymead, Oxford, Oxfordshire, England",51.7838335,-1.2642666
"Sand Point, Weston-super-Mare, Somerset, England",51.3659434,-2.9342983
"Lydford, Devon, England",50.6459989,-4.0827936
"Aynho, Northamptonshire, England",51.9948605,-1.2520728
"Dry Sandford Pit, Abingdon, Oxfordshire, England",NA,NA
"Reigate, Surrey, England",51.2376557,-0.2057067
"Meavy, Devon, England",50.4796082,-4.0590464
"Dawlish Warren, Devon, England",50.5986475,-3.4437159
"Warmwell Heath, Warmwell, Dorset, England",NA,NA
"South Brent, Devon, England",50.4427744,-3.847493
"Abergele, Conwy, Wales",53.2840692,-3.5810655
"Warmwell, Dorset, England",50.6749172,-2.3553494
"Millook, Cornwall, England",50.7710435,-4.5756142
"St David's Head, St David's, Pembrokeshire, Wales",51.9030217,-5.3127212
"South Haven, S. Boundary, Swanage, Dorset, England",NA,NA
"Barmouth, Gwynedd, Wales",52.7210389,-4.0535692
"Nairn, Narinshire, Scotland",NA,NA
"Lyndhurst, Hampshire, England",50.8727657,-1.5748436
"Forres, Moray, Scotland",57.609864,-3.613215
"Cothill, Abingdon, Oxfordshire, England",NA,NA
"Coombe, Coventry, Warwickshie, England",NA,NA
"Great Missenden, Buckinghamshire, England",51.7046508,-0.7086592
"Wellington College, Crowthorne, Berkshire, England",51.3624135,-0.8080941
"Woodbury, Devon, England",50.6759768,-3.4061001
"Odiham, Hampshire, England",51.2496285,-0.9346917
"Waterperry Wood, Oxford, Oxfordshire, England",NA,NA
"Gerrards Cross, Buckinghamshire, England",51.5878131,-0.5537126
"Hedgerley, Buckinghamshire, England",51.5763466,-0.6040853
"Devonshire Road, London, Greater London, England",51.500887,-0.3132598
"Hardwick Wood, Hardwick, Cambridgeshire, England",52.2002801,-0.0205034
"Marston St Lawrence, Northamptonshire, England",52.0766064,-1.2171139
"Brackley, Northamptonshire, England",52.0278975,-1.1484657
"North Leigh Common, North Leigh, Oxfordshire, England",51.8203059,-1.4197065
"Topsham, Devon, England",50.6850732,-3.4658063
"Witchampton, Dorset, England",50.8579978,-2.0168718
"Sulhamstead, Berkshire, England",51.4140897,-1.0929427
"Wicken, Cambridgeshire, England",52.3126328,0.2994755
"Five Oaks, Yelverton, Devon, England",NA,NA
"Hawkchurch, Devon, England",50.800438,-2.9354622
"Whitchurch Down, Tavistock, Devon, England",50.5427342,-4.1150225
"Weymouth, Dorset, England",50.6096257,-2.4543424
"Chipping Campden, Gloucestershire, England",52.0496652,-1.7813927
"South Devon - Buckland Down, Devon, England",NA,NA
"North Petherwin, Cornwall, England",50.6931922,-4.4613253
"Higham, Kent, England",51.4310457,0.4709558
"Sheepstor, Devon, England",50.4908765,-4.0318718
"Fernworthy Reservoir, Devon, England",50.6408514,-3.8883035
"Holne Wood, Newton Abbot, Devon, England",NA,NA
"Paignton, Devon, England",50.4377018,-3.5632704
"Raglan, Monmouthshire, Wales",51.7650543,-2.8540602
"Haldon Forest, Clapham, Devon, England",50.6703299,-3.565771
"Dewerstone Forest, Near Shaugh Prior, Plymouth, Devon, England",NA,NA
"Coast Path, Torquay, Devon, England",NA,NA
"Exwick, Exeter, Devon, England",50.7321721,-3.5501132
"Salcey Forest, Northamptonshire, England",52.154843,-0.8391565
"Barnstaple, Devon, England",51.0804057,-4.0600467
"High Down, Lydford, Devon, England",NA,NA
"Instow, Devon, England",51.0564265,-4.1694841
"Gutter Tor, Sheepstor, Devon, England",50.4883193,-4.0047507
"Oxshott, Surrey, England",51.3361004,-0.3625418
"Newbury, Berkshire, England",51.4020243,-1.3242212
"Sale, Greater Manchester, England",53.4244939,-2.318415
"Theydon Bois, Essex, England",51.6717759,0.1033213
"Exminster, Devon, England",50.6785394,-3.4955657
"Sopworth, Wiltshire, England",51.5806236,-2.2507317
"Osterley, Greater London, England",51.4815507,-0.3518348
"Alderley, Wotton-under-Edge, Gloucestershire, England",NA,NA
"Lyme Regis, Devon, England",50.7104525,-2.9769065
"Guildford, Surrey, England",51.2356068,-0.5732063
"Wyre Forest, Kidderminster, Worcestershire, England",52.396247,-2.2469773
"Berkhamsted, Hertfordshire, England",51.7607271,-0.5652554
"Wykeham House (garden), Oxford, Oxfordshire, England",NA,NA
"OUMNH, Oxford, Oxfordshire, England",NA,NA
"Chattenden, Kent, England",51.2849241,0.5329214
"Tubney Wood, Tubney, Oxfordshire, England",51.6982536,-1.3620453
"Spray Street, Woolwich, Greater London, England",51.4904779,0.0697472
"Carlisle, Cumbria, England",NA,NA
"Churston Ferrers, Brixham, Devon, England",50.3945707,-3.565572
"Meanwood, Leeds, West Yorkshire, England",53.8281685,-1.5682466
"Sheffield, South Yorkshire, England",53.3806626,-1.4702278
"Plym Bridge, Plymouth, Devon, England",NA,NA
"Burrator Reservoir, Dartmoor, Devon, England",NA,NA
"Roundhay, Leeds, West Yorkshire, England",53.8439954,-1.507852
"Leather Tor, Dartmoor, Devon, England",NA,NA
"Harford, Devon, England",50.4188928,-3.9179257
"Pamber Forest, Tadley, Hampshire, England",51.3445805,-1.1172286
"Teignbridge, Devon, England",50.6125551,-3.6559493
"Tring, Hertfordshire, England",51.7940357,-0.6609205
"Rainton, North Yorkshire, England",54.1715744,-1.4343499
"Polegate, East Sussex, England",50.8276836,0.2446652
"Cerne Abbas, Dorset, England",50.8079558,-2.4793386
"Monks Wood, Sawtry, Cambridgeshire, England",52.4055181,-0.2396955
"Pewley Down, Guildford, Surrey, England",51.230904,-0.557229
"Mare Hill, Godalming, Surrey, England",NA,NA
"Wendlebury, Oxfordshire, England",51.872327,-1.186175
"Holmens Grove, Grayswood, Surrey, England",NA,NA
"Wrecclesham, Surrey, England",51.1979493,-0.8159703
"South Norwood, London, Greater London, England",51.3980951,-0.0768216
"Lewisham, London, Greater London, England",51.4624292,-0.0101787
"Bideford, Devon, England",51.0181448,-4.2064223
"Ottery Saint Mary, Devon, England",NA,NA
"Kenton, Devon, England",50.6341028,-3.4920314
"Morden, Dorset, England",50.7627893,-2.1325452
"Morwenstow, Cornwall, England",50.9031662,-4.524249
"Cranford Ave, Weymouth, Dorset, England",50.6234113,-2.4511577
"Holywell Road, Oxford, Oxfordshire, England",51.7482606,-1.2781435
"Kelly, Devon, England",50.6140691,-4.2571527
"Wembury, Devon, England",50.3287157,-4.0840935
"Bexington, Dorset, England",50.6802203,-2.6614154
"Braunton Burrows, Braunton, Devon, England",51.0930822,-4.2087025
"Elfordleigh, Plymouth, Devon, England",50.4069908,-4.0491626
"Charmouth Cliffs, Chamouth, Dorset, England",NA,NA
"Two Mile Coppice, Weymouth, Dorset, England",50.6386572,-2.4610685
"Swindon, Wiltshire, England",51.6057801,-1.841922
"Farningham Woods, Farningham, Kent, England",51.3916478,0.2121137
"Lesnes Abbey Woods, London, Greater London, England",51.4859646,0.1341078
"Mardon Down, Dartmoor, Devon, England",NA,NA
"Godstone, Surrey, England",51.221863,-0.0565382
"Westbury on Trym, Bristol, Bristol, England",51.4936347,-2.6179454
"Enslow, Oxfordshire, England",51.860764,-1.303454
"Wolvercote, Oxfordshire, England",51.7849516,-1.2862119
"Yarnton, Oxfordshire, England",51.8046148,-1.308937
